playerId,season,name,salary,team,position,gamesPlayed,primaryAssists,secondaryAssists,shotsOnGoal,points,goals,hits,shotsBlockedByPlayer
8478401,2023,Pavel Zacha,4.75,BOS,C,78,18,20,148,59,21,106,34
8477497,2023,Sean Monahan,5.5,WPG,C,83,21,12,171,59,26,29,44
8481068,2023,Yegor Sharangovich,3.1,CGY,C,82,18,10,179,59,31,13,44
8477416,2023,Oliver Bjorkstrand,5.4,SEA,R,82,19,20,186,59,20,67,29
8480839,2023,Rasmus Dahlin,11,BUF,D,81,24,15,235,59,20,195,154
8477949,2023,Alex Tuch,4.75,BUF,R,75,20,17,192,59,22,72,82
8476853,2023,Morgan Rielly,7.5,TOR,D,72,29,22,173,58,7,98,137
8479675,2023,Trevor Moore,4.2,LAK,L,82,14,12,244,57,31,91,58
8479999,2023,Casey Mittelstadt,5.75,COL,C,80,19,20,127,57,18,26,31
8478460,2023,Zach Werenski,9.58,CBJ,D,70,19,27,202,57,11,23,130
8482109,2023,Alexis Lafrenire,2.33,NYR,L,82,20,9,217,57,28,73,21
8481711,2023,Matias Maccelli,3.43,ARI,L,82,26,14,149,57,17,25,20
8477494,2023,Jonathan Drouin,2.5,COL,L,79,19,18,127,56,19,41,33
8474578,2023,Erik Karlsson,11.5,PIT,D,82,24,21,213,56,11,40,99
8475810,2023,Bryan Rust,5.13,PIT,R,62,14,14,196,56,28,47,51
8479420,2023,Tage Thompson,7.14,BUF,C,71,16,11,246,56,29,79,29
8476906,2023,Shayne Gostisbehere,3.2,DET,D,81,18,28,139,56,10,29,75
8478047,2023,Michael Bunting,4.5,PIT,L,81,26,10,168,55,19,49,21
8475765,2023,Vladimir Tarasenko,4.75,FLA,R,76,20,12,155,55,23,85,39
8475726,2023,Tyler Toffoli,6,WPG,C,79,14,8,229,55,33,75,11
8482124,2023,Quinton Byfield,6.25,LAK,R,80,21,14,161,55,20,66,19
8480798,2023,Philipp Kurashev,2.25,CHI,C,75,26,10,128,54,18,27,48
8476399,2023,Blake Coleman,4.9,CGY,C,78,10,14,192,54,30,128,57
8480036,2023,Miro Heiskanen,8.45,DAL,D,71,22,23,162,54,9,55,97
8478873,2023,Troy Terry,7,ANA,R,76,22,12,172,54,20,17,30
